grant_id,is_center_grant,reason,grant_program_name
R305C210003,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305E040085,FALSE,not a Research and Development Center program,Education Research Grants
R305E050052,FALSE,not a Research and Development Center program,Education Research Grants
R305E050135,FALSE,not a Research and Development Center program,Education Research Grants
R305E090003,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E090005,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E090009,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E090010,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E090019,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E100008,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E100013,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E100030,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E100043,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E110019,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E120003,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E120006,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E120010,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E130009,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E150005,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E150006,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305E190002,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305F050006,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050051,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050069,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050080,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050117,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050122,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050161,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050223,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050245,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050256,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050274,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F050284,FALSE,not a Research and Development Center program,Field Initiated Evaluations of Education Innovations
R305F100002,FALSE,not a Research and Development Center program,Reading for Understanding Research Initiative
R305F100005,FALSE,not a Research and Development Center program,Reading for Understanding Research Initiative
R305F100007,FALSE,not a Research and Development Center program,Reading for Understanding Research Initiative
R305F100013,FALSE,not a Research and Development Center program,Reading for Understanding Research Initiative
R305F100026,FALSE,not a Research and Development Center program,Reading for Understanding Research Initiative
R305F100027,FALSE,not a Research and Development Center program,Reading for Understanding Research Initiative
R305G030140,FALSE,not a Research and Development Center program,Education Research Grants
R305G040089,FALSE,not a Research and Development Center program,Education Research Grants
R305G040103,FALSE,not a Research and Development Center program,Education Research Grants
R305G040104,FALSE,not a Research and Development Center program,Education Research Grants
R305G040145,FALSE,not a Research and Development Center program,Education Research Grants
R305G050005,FALSE,not a Research and Development Center program,Education Research Grants
R305G050216,FALSE,not a Research and Development Center program,Education Research Grants
R305H030031,FALSE,not a Research and Development Center program,Education Research Grants
R305H050036,FALSE,not a Research and Development Center program,Education Research Grants
R305H060042,FALSE,not a Research and Development Center program,Education Research Grants
R305H060080,FALSE,not a Research and Development Center program,Education Research Grants
R305H140028,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H140045,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H140065,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H150027,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H170006,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H170042,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H170085,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H190004,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H190035,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305H190036,FALSE,not a Research and Development Center program,Partnerships and Collaborations Focused on Problems of Practice or Policy
R305J020014,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J020020,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J020026,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J020027,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J020039,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J020040,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J020051,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J030037,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J030084,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J030093,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J030103,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305J030120,FALSE,not a Research and Development Center program,Education Research Grants
R305J030138,FALSE,not a Research and Development Center program,Preschool Curriculum Evaluation Research
R305K040001,FALSE,not a Research and Development Center program,Education Research Grants
R305K050004,FALSE,not a Research and Development Center program,Education Research Grants
R305K050045,FALSE,not a Research and Development Center program,Education Research Grants
R305K050050,FALSE,not a Research and Development Center program,Education Research Grants
R305K050157,FALSE,not a Research and Development Center program,Education Research Grants
R305K060142,FALSE,not a Research and Development Center program,Education Research Grants
R305L030002,FALSE,not a Research and Development Center program,Social and Character Development
R305L030003,FALSE,not a Research and Development Center program,Social and Character Development
R305L030004,FALSE,not a Research and Development Center program,Social and Character Development
R305L030065,FALSE,not a Research and Development Center program,Social and Character Development
R305L030162,FALSE,not a Research and Development Center program,Social and Character Development
R305L030165,FALSE,not a Research and Development Center program,Social and Character Development
R305L030173,FALSE,not a Research and Development Center program,Social and Character Development
R305M030052,FALSE,not a Research and Development Center program,Education Research Grants
R305M030090,FALSE,not a Research and Development Center program,Education Research Grants
R305M030099,FALSE,not a Research and Development Center program,Education Research Grants
R305M040086,FALSE,not a Research and Development Center program,Education Research Grants
R305M050031,FALSE,not a Research and Development Center program,Education Research Grants
R305M050072,FALSE,not a Research and Development Center program,Education Research Grants
R305M050223,FALSE,not a Research and Development Center program,Education Research Grants
R305M050226,FALSE,not a Research and Development Center program,Education Research Grants
R305M050270,FALSE,not a Research and Development Center program,Education Research Grants
R305R060022,FALSE,not a Research and Development Center program,Education Research Grants
R305R060059,FALSE,not a Research and Development Center program,Education Research Grants
R305R220012,FALSE,not a Research and Development Center program,Research Grants Focused on Systematic Replication
R305R220024,FALSE,not a Research and Development Center program,Research Grants Focused on Systematic Replication
R305S210005,FALSE,not a Research and Development Center program,Using Longitudinal Data to Support State Policymaking
R305S210008,FALSE,not a Research and Development Center program,Using Longitudinal Data to Support State Policymaking
R305S210026,FALSE,not a Research and Development Center program,Using Longitudinal Data to Support State Policymaking
R305S220003,FALSE,not a Research and Development Center program,Using Longitudinal Data to Support State Policymaking
R305T210046,FALSE,not a Research and Development Center program,Transformative Research in the Education Sciences
R305U050002,FALSE,not a Research and Development Center program,Education Research Grants
R305U070006,FALSE,not a Research and Development Center program,Unsolicited
R305W020002,FALSE,not a Research and Development Center program,Education Research Grants
R305W020005,FALSE,not a Research and Development Center program,Education Research Grants
R305W030036,FALSE,not a Research and Development Center program,Unsolicited
R305W030257,FALSE,not a Research and Development Center program,Education Research Grants
R305W060016,FALSE,not a Research and Development Center program,Education Research Grants
R305W060027,FALSE,not a Research and Development Center program,Education Research Grants
R305X220016,FALSE,not a Research and Development Center program,Improving Pandemic Recovery Efforts in Education Agencies
R305X220018,FALSE,not a Research and Development Center program,Improving Pandemic Recovery Efforts in Education Agencies
R324A070118,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A070181,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A070183,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A070206,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A080026,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A080037,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A080071,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A080195,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A090044,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A090052,FALSE,not a Research and Development Center program,Special Education Research Grants
R324A090091,FALSE,not a Research and Development Center program,Special Education Research Grants
